,event,points,total_points,rank,rank_sort,overall_rank,percentile_rank,bank,value,event_transfers,event_transfers_cost,points_on_bench,manager_id
12084,1,65.0,65.0,2387076.0,2487440.0,2387076.0,30.0,0.0,1000.0,0.0,0.0,3.0,3560901
12085,2,68.0,133.0,5274812.0,5313945.0,3451808.0,60.0,0.0,1000.0,1.0,0.0,2.0,3560901
12086,3,52.0,185.0,7904123.0,7918232.0,5041424.0,80.0,29.0,999.0,1.0,0.0,9.0,3560901
12087,4,82.0,267.0,86845.0,88316.0,2054729.0,1.0,18.0,1002.0,1.0,0.0,3.0,3560901
12088,5,70.0,337.0,1875187.0,1901929.0,1493670.0,20.0,7.0,1003.0,1.0,0.0,3.0,3560901
12089,6,52.0,389.0,4562539.0,4582431.0,1538737.0,45.0,10.0,1005.0,1.0,0.0,1.0,3560901
12090,7,37.0,426.0,8167651.0,8192708.0,2258504.0,80.0,6.0,1009.0,1.0,0.0,15.0,3560901
12091,8,29.0,455.0,7762346.0,7821066.0,2895936.0,75.0,6.0,1010.0,0.0,0.0,25.0,3560901
12092,9,45.0,500.0,8474659.0,8488261.0,3758567.0,80.0,3.0,1011.0,1.0,0.0,5.0,3560901
12093,10,26.0,526.0,9740638.0,9748164.0,4610352.0,95.0,0.0,1009.0,2.0,0.0,6.0,3560901
12094,11,37.0,563.0,8686633.0,8701693.0,5229717.0,85.0,2.0,1009.0,1.0,0.0,5.0,3560901
12095,12,57.0,620.0,3243019.0,3263070.0,4786650.0,35.0,10.0,1006.0,1.0,0.0,9.0,3560901
12096,13,70.0,690.0,3170601.0,3190220.0,4355449.0,30.0,1.0,1007.0,1.0,0.0,2.0,3560901
12097,14,70.0,760.0,2258889.0,2293804.0,3896367.0,25.0,11.0,1003.0,0.0,0.0,0.0,3560901
12098,15,20.0,780.0,10751991.0,10755081.0,5189058.0,100.0,11.0,1007.0,0.0,0.0,0.0,3560901
12099,16,67.0,847.0,532728.0,546446.0,4428792.0,5.0,11.0,1009.0,0.0,0.0,1.0,3560901
12100,17,77.0,924.0,2843850.0,2848369.0,3957891.0,30.0,7.0,1013.0,3.0,0.0,4.0,3560901
12101,18,70.0,994.0,1071197.0,1091107.0,3506852.0,10.0,0.0,1015.0,1.0,0.0,0.0,3560901
12102,19,70.0,1064.0,4778201.0,4805265.0,3559013.0,45.0,30.0,1016.0,1.0,0.0,8.0,3560901
12103,20,67.0,1131.0,3558816.0,3585927.0,3482095.0,35.0,32.0,1018.0,1.0,0.0,1.0,3560901
12104,21,78.0,1209.0,1223799.0,1242446.0,3020800.0,15.0,16.0,1023.0,1.0,0.0,0.0,3560901
12105,22,28.0,1237.0,10709883.0,10716347.0,3456543.0,100.0,15.0,1024.0,1.0,0.0,16.0,3560901
12106,23,63.0,1300.0,4060779.0,4126538.0,3404401.0,40.0,15.0,1027.0,0.0,0.0,4.0,3560901
12107,24,96.0,1396.0,5410307.0,5416644.0,3655082.0,50.0,5.0,1023.0,2.0,0.0,19.0,3560901
12108,25,75.0,1471.0,6100928.0,6114834.0,3860589.0,55.0,1.0,1018.0,1.0,0.0,6.0,3560901
12109,26,79.0,1550.0,2396242.0,2427637.0,3714012.0,25.0,1.0,1018.0,0.0,0.0,1.0,3560901
12110,27,65.0,1615.0,1455915.0,1494572.0,3499181.0,15.0,1.0,1019.0,0.0,0.0,2.0,3560901
12111,28,68.0,1683.0,1500670.0,1533829.0,3350589.0,15.0,13.0,1014.0,0.0,0.0,15.0,3560901
12112,29,59.0,1742.0,1772110.0,1779934.0,3035851.0,20.0,10.0,1022.0,2.0,0.0,5.0,3560901
12113,30,56.0,1798.0,1911367.0,1933027.0,2882386.0,20.0,0.0,1026.0,1.0,0.0,6.0,3560901
12114,31,43.0,1841.0,2568246.0,2586847.0,2740372.0,25.0,30.0,1027.0,1.0,0.0,2.0,3560901
12115,32,73.0,1914.0,2378180.0,2393371.0,2598667.0,25.0,5.0,1026.0,1.0,0.0,6.0,3560901
12116,33,46.0,1960.0,8347336.0,8354633.0,2867724.0,75.0,6.0,1026.0,1.0,0.0,18.0,3560901
12117,34,57.0,2017.0,3210065.0,3220056.0,2815980.0,30.0,6.0,1030.0,1.0,0.0,12.0,3560901
12118,35,44.0,2061.0,4604725.0,4699153.0,2808593.0,45.0,6.0,1030.0,0.0,0.0,4.0,3560901
12119,36,35.0,2096.0,8556922.0,8564893.0,2974651.0,75.0,6.0,1031.0,2.0,0.0,3.0,3560901
12120,37,26.0,2122.0,9891373.0,9892793.0,3241191.0,90.0,6.0,1030.0,1.0,0.0,13.0,3560901
12121,38,48.0,2170.0,5116253.0,5134491.0,3285922.0,45.0,31.0,1030.0,1.0,0.0,8.0,3560901
12122,1,61.0,61.0,3358109.0,3358634.0,3358110.0,40.0,0.0,1000.0,0.0,0.0,7.0,11898
12123,2,80.0,141.0,2340828.0,2341168.0,2122213.0,25.0,0.0,1000.0,0.0,0.0,1.0,11898
12124,3,76.0,217.0,2516711.0,2516802.0,1777258.0,30.0,0.0,1003.0,2.0,0.0,6.0,11898
12125,4,63.0,280.0,1740258.0,1740330.0,1011783.0,20.0,0.0,1001.0,0.0,0.0,2.0,11898
12126,5,71.0,351.0,1672089.0,1672239.0,699896.0,20.0,25.0,1005.0,1.0,0.0,4.0,11898
12127,6,46.0,397.0,6048069.0,6048140.0,1071699.0,60.0,14.0,1007.0,2.0,0.0,3.0,11898
12128,7,52.0,449.0,3065389.0,3065690.0,876880.0,30.0,14.0,1011.0,0.0,0.0,1.0,11898
12129,8,34.0,483.0,6185395.0,6185506.0,1142715.0,60.0,1.0,1009.0,2.0,0.0,1.0,11898
12130,9,67.0,550.0,1577589.0,1577677.0,894936.0,15.0,1.0,1011.0,0.0,0.0,11.0,11898
12131,10,29.0,579.0,8720906.0,8720948.0,1530999.0,85.0,1.0,1013.0,0.0,0.0,16.0,11898
12132,11,43.0,622.0,6859827.0,6859900.0,2055382.0,65.0,1.0,1013.0,0.0,0.0,11.0,11898
12133,12,62.0,684.0,2074538.0,2074610.0,1730237.0,20.0,16.0,1012.0,0.0,0.0,11.0,11898
12134,13,85.0,769.0,884395.0,884489.0,1191238.0,10.0,2.0,1015.0,2.0,0.0,3.0,11898
12135,14,59.0,828.0,5380703.0,5380880.0,1361546.0,50.0,6.0,1019.0,1.0,0.0,3.0,11898
12136,15,72.0,900.0,726998.0,727146.0,887975.0,10.0,6.0,1022.0,0.0,0.0,4.0,11898
12137,16,71.0,971.0,309519.0,309527.0,528871.0,5.0,0.0,1022.0,3.0,0.0,10.0,11898
12138,17,81.0,1052.0,2033962.0,2034058.0,496766.0,20.0,0.0,1028.0,0.0,0.0,19.0,11898
12139,18,67.0,1119.0,1752704.0,1752759.0,444124.0,20.0,1.0,1030.0,3.0,0.0,5.0,11898
12140,19,83.0,1202.0,1616597.0,1616764.0,386890.0,15.0,1.0,1033.0,0.0,0.0,28.0,11898
12141,20,43.0,1245.0,9821474.0,9821486.0,699151.0,90.0,8.0,1037.0,1.0,0.0,2.0,11898
12142,21,59.0,1304.0,4651889.0,4651947.0,834743.0,45.0,19.0,1037.0,1.0,0.0,10.0,11898
12143,22,53.0,1357.0,2937204.0,2937254.0,740820.0,30.0,4.0,1039.0,2.0,0.0,6.0,11898
12144,23,61.0,1418.0,4852623.0,4852860.0,755963.0,45.0,4.0,1043.0,0.0,0.0,3.0,11898
12145,24,120.0,1538.0,2033818.0,2033936.0,740222.0,20.0,5.0,1040.0,1.0,0.0,7.0,11898
12146,25,105.0,1643.0,616106.0,616201.0,570169.0,10.0,2.0,1040.0,1.0,0.0,7.0,11898
12147,26,87.0,1730.0,1043166.0,1043343.0,493091.0,10.0,18.0,1040.0,1.0,0.0,11.0,11898
12148,27,54.0,1784.0,5628571.0,5628778.0,520732.0,50.0,5.0,1041.0,1.0,0.0,1.0,11898
12149,28,52.0,1836.0,6596657.0,6596860.0,612385.0,60.0,4.0,1038.0,1.0,0.0,2.0,11898
12150,29,39.0,1871.0,5524342.0,5524423.0,780715.0,50.0,14.0,1030.0,3.0,4.0,0.0,11898
12151,30,64.0,1935.0,520658.0,520718.0,622420.0,5.0,11.0,1027.0,1.0,0.0,3.0,11898
12152,31,58.0,1993.0,447286.0,447707.0,486619.0,5.0,5.0,1032.0,0.0,0.0,12.0,11898
12153,32,75.0,2068.0,2024821.0,2025045.0,499938.0,20.0,5.0,1040.0,0.0,0.0,6.0,11898
12154,33,82.0,2150.0,717595.0,717686.0,399647.0,10.0,18.0,1039.0,2.0,0.0,0.0,11898
12155,34,87.0,2237.0,323374.0,323772.0,307767.0,5.0,18.0,1043.0,0.0,0.0,12.0,11898
12156,35,35.0,2272.0,8632379.0,8632405.0,370179.0,80.0,3.0,1038.0,1.0,0.0,6.0,11898
12157,36,62.0,2330.0,869781.0,869886.0,342898.0,10.0,6.0,1029.0,2.0,4.0,15.0,11898
12158,37,37.0,2367.0,6464585.0,6464645.0,421381.0,60.0,0.0,1028.0,1.0,0.0,8.0,11898
12159,38,47.0,2414.0,5455046.0,5455141.0,480541.0,50.0,16.0,1027.0,1.0,0.0,9.0,11898
12160,1,51.0,51.0,5857248.0,5864442.0,5857247.0,70.0,0.0,1000.0,0.0,0.0,3.0,392689
12161,2,65.0,112.0,6016088.0,6016659.0,6409642.0,65.0,8.0,999.0,2.0,4.0,7.0,392689
12162,3,51.0,159.0,8080458.0,8081193.0,7069011.0,85.0,1.0,999.0,2.0,4.0,3.0,392689
12163,4,53.0,212.0,4477115.0,4483173.0,6742874.0,45.0,0.0,1002.0,0.0,0.0,11.0,392689
12164,5,55.0,267.0,6000708.0,6005070.0,6734011.0,60.0,0.0,1006.0,0.0,0.0,9.0,392689
12165,6,41.0,304.0,7285204.0,7286028.0,7377259.0,75.0,9.0,1009.0,3.0,4.0,14.0,392689
12166,7,40.0,344.0,7223825.0,7227212.0,7565045.0,70.0,2.0,1011.0,1.0,0.0,11.0,392689
12167,8,38.0,382.0,4375846.0,4382123.0,7423704.0,45.0,2.0,1013.0,0.0,0.0,33.0,392689
12168,9,49.0,431.0,7110177.0,7113574.0,7474857.0,70.0,2.0,1014.0,0.0,0.0,9.0,392689
12169,10,36.0,467.0,6156078.0,6161123.0,7475707.0,60.0,2.0,1015.0,0.0,0.0,22.0,392689
12170,11,52.0,515.0,4534081.0,4534170.0,7378633.0,45.0,6.0,1016.0,5.0,4.0,5.0,392689
12171,12,55.0,570.0,3739195.0,3741817.0,7012786.0,35.0,8.0,1018.0,1.0,0.0,4.0,392689
12172,13,81.0,647.0,1358728.0,1360575.0,6193230.0,15.0,8.0,1018.0,2.0,4.0,9.0,392689
12173,14,61.0,704.0,4830822.0,4834292.0,6163013.0,45.0,0.0,1019.0,2.0,4.0,3.0,392689
12174,15,61.0,757.0,2720324.0,2720895.0,6085657.0,30.0,19.0,1017.0,3.0,8.0,2.0,392689
12175,16,48.0,805.0,5251146.0,5255871.0,6032629.0,50.0,5.0,1017.0,1.0,0.0,4.0,392689
12176,17,67.0,872.0,4425096.0,4427151.0,5681693.0,45.0,5.0,1019.0,0.0,0.0,22.0,392689
12177,18,55.0,927.0,5029602.0,5033528.0,5543765.0,50.0,1.0,1019.0,2.0,0.0,16.0,392689
12178,19,85.0,1008.0,1407987.0,1409438.0,5146474.0,15.0,0.0,1021.0,2.0,4.0,14.0,392689
12179,20,71.0,1079.0,2512107.0,2515671.0,4915969.0,25.0,0.0,1025.0,0.0,0.0,20.0,392689
12180,21,41.0,1120.0,8495916.0,8497628.0,5303135.0,80.0,0.0,1025.0,0.0,0.0,5.0,392689
12181,22,39.0,1159.0,7926088.0,7932140.0,5434772.0,75.0,0.0,1027.0,0.0,0.0,2.0,392689
12182,23,65.0,1224.0,3673481.0,3673727.0,5330769.0,35.0,0.0,1026.0,4.0,0.0,8.0,392689
12183,24,109.0,1333.0,3480712.0,3483022.0,4986480.0,35.0,0.0,1027.0,0.0,0.0,11.0,392689
12184,25,107.0,1440.0,470483.0,471970.0,4490126.0,5.0,5.0,1027.0,1.0,0.0,5.0,392689
12185,26,80.0,1520.0,2180246.0,2183371.0,4309576.0,20.0,5.0,1027.0,0.0,0.0,-2.0,392689
12186,27,74.0,1594.0,356321.0,356880.0,3930769.0,5.0,16.0,1029.0,2.0,0.0,15.0,392689
12187,28,51.0,1645.0,6847542.0,6851225.0,4109879.0,65.0,9.0,1031.0,1.0,0.0,15.0,392689
